# of units,City,Area,Address,Strata Name,Postal Code,Strata Plan #,Current Management text,Construction,Year built,Link
,Vancouver,West End,1386 Nicola Street,Kensington Place,,,,,,
,Vancouver,West End,1220 Barclay Street,Kenwood Court,,,,,,
,Vancouver,West End,921 Thurlow Street,Kristoff's Place,,,,,,
,Vancouver,West End,1230 Comox Street,La Mirage,,,,,,
,Vancouver,West End,1970 Haro Street,Lagoon Royale,,,,,,
,Vancouver,West End,1960 Robson Street,Lagoon Terrace,,,,,,
,Vancouver,West End,1925 - 1985 Alberni Street,Laguna Parkside,,,,,,
,Vancouver,West End,1146 Harwood Street,Lamplighter,,,,,,
,Vancouver,West End,1720 Barclay Street,Lancaster Gate,,,,,,
,Vancouver,West End,1045 Burnaby Street,Landmark Bayside,,,,,,
,Vancouver,West End,1280 Nicola Street,Linden Place,,,,,,
,Vancouver,West End,1331 - 1367 Alberni Street,Lions,,,,,,
,Vancouver,West End,1128 W Georgia Street,Living Shangri-La,,,,,,
,New Westminster,West End,1202 London Place,London Place,,,,,,
,New Westminster,West End,836 12th Street,London Place,,,,,,
,Vancouver,West End,1889 Alberni Street,Lord Stanley,,,,,,
,Vancouver,West End,1684 Alberni Street,Lord Stanley Tower,,,,,,
,Vancouver,West End,1225 Barclay Street,Lord Young Terrace,,,,,,
,Vancouver,West End,1863 Alberni Street,Lumiere,,,,,,
,Vancouver,West End,1100 Harwood Street,Martinique,,,,,,
,Vancouver,West End,1554 Burnaby Street,Mccoy Manor,,,,,,
,Vancouver,West End,1003 Burnaby Street,Milano,,,,,,
,Vancouver,West End,1070 Nelson Street,Nelson,,,,,,
,Vancouver,West End,1835 Morton Avenue,Ocean Towers,,,,,,
,Vancouver,West End,1688 Robson Street,Pacific Robson Palais,,,,,,
,Vancouver,West End,1967 Barclay Street,Palasades,,,,,,
,Vancouver,West End,1200 - 1288 Alberni Street,Palisades,,,,,,
,Vancouver,West End,1705 Nelson Street,Palladian,,,,,,
,Vancouver,West End,2055 Pendrell Street,Panorama Place,,,,,,
,Vancouver,West End,1723 Alberni Street,Park,,,,,,
,Vancouver,West End,1835 Barclay Street,Parkside Place,,,,,,
,Vancouver,West End,1975 Pendrell Street,Parkwood Manor,,,,,,
,Vancouver,West End,1028 Barclay Street,Patina,,,,,,
,Vancouver,West End,1234 Pendrell Street,Pendrell,,,,,,
,Vancouver,West End,1500 Pendrell Street,Pendrell Mews,,,,,,
,Vancouver,West End,1575 Beach Avenue,Plaza Del Mar,,,,,,
,Vancouver,West End,2088 - 2090 Barclay Street,Presidio,,,,,,
,Vancouver,West End,1165 Burnaby Street,Qu'appelle,,,,,,
,Vancouver,West End,1101 Nicola Street,Queen Charlotte,,,,,,
,Vancouver,West End,1879 Barclay Street,Ralston Court,,,,,,
,Vancouver,West End,1132 Haro Street,Regent,,,,,,
,Vancouver,West End,1288 W Georgia Street,Residences On Georgia,,,,,,
,Vancouver,West End,1200 W Georgia Street,Residences On Georgia,,,,,,
,Vancouver,West End,1270 Robson Street,Robson Gardens,,,,,,
,Vancouver,West End,1050 Chilco Street,Safari,,,,,,
,Vancouver,West End,1740 Comox Street,Sandpiper,,,,,,
,Vancouver,West End,1565 Burnaby Street,Seacrest,,,,,,
,Vancouver,West End,1003 Pacific Street,Seastar,,,,,,
,Vancouver,West End,1150 Barclay Street,Shermanor,,,,,,
,Vancouver,West End,985 Jervis Street,Sherwood Lodge,,,,,,
,Vancouver,West End,1140 Pendrell Street,Somerset,,,,,,
,Vancouver,West End,1147 Nelson Street,Somerset,,,,,,
,Vancouver,West End,1534 Harwood Street,St. Pierre,,,,,,
,Vancouver,West End,888 Bute Street,Stafford,,,,,,
,Vancouver,West End,1860 Robson Street,Stanley Park Place,,,,,,
,Vancouver,West End,1050 Smithe Street,Sterling,,,,,,
,Vancouver,West End,1935 Haro Street,Sundial,,,,,,
,Vancouver,West End,1845 Robson Street,Sundial Place,,,,,,
,Vancouver,West End,1032 Nicola Street,Sunset Place,,,,,,
,Vancouver,West End,1251 Cardero Street,Surfcrest,,,,,,
,Vancouver,West End,1861 Beach Avenue,Sylvia Tower,,,,,,
,Vancouver,West End,845 Chilco Street,Terraces,,,,,,
,Vancouver,West End,1345 Comox Street,Tiffany Court,,,,,,
,Vancouver,West End,1050 Broughton Street,Tiffany Court,,,,,,
,Vancouver,West End,1311 Beach Avenue,Tudor Manor,,,,,,
,Vancouver,West End,909 Burrard Street,Vancouver Tower,,,,,,
,Vancouver,West End,1355 Harwood Street,Vanier Court,,,,,,
,Vancouver,West End,947 Nicola Street,Village,,,,,,
,Vancouver,West End,1399 Barclay Street,West Briar,,,,,,
,Vancouver,West End,969 Jervis Street,West End,,,,,,
,Vancouver,West End,1106 Pacific Street,West Gate Landing,,,,,,
,Vancouver,West End,1855 Nelson Street,West Park,,,,,,
,Vancouver,West End,1631 Comox Street,Westender One,,,,,,
,Vancouver,West End,1928 Nelson Street,Westpark House,,,,,,
,Vancouver,West End,1330 Harwood Street,Westsea Towers,,,,,,
,Vancouver,West End,1924 Comox Street,Wingate,,,,,,
,Burnaby,Willingdon Heights,3768 Hastings Street,Heights,,,,,,
,Burnaby,Willingdon Heights,3920 Hastings Street,Ingleton Place,,,,,,
,Burnaby,Willingdon Heights,3709 Pender Street,Lexington North,,,,,,
,North Surrey,Bolivar Heights,13530 Hilton Road,Hilton House,,,,,,
,North Surrey,Bolivar Heights,13490 Hilton Road,Hilton View Manor,,,,,,
,North Surrey,Bolivar Heights,13550 Hilton Road,Summit,,,,,,
,North Surrey,Cedar Hills,9635 121 Street,Chandler's Hill,,,,,,
,North Surrey,Cedar Hills,9632 120A Street,Chandlers Hill,,,,,,
,North Surrey,Guildford,10088 148 Street,Bloomsbury Court,,,,,,
,North Surrey,Guildford,10092 148 Street,Bloomsbury Court,,,,,,
,North Surrey,Guildford,15220 Guildford Drive,Boulevard Club,,,,,,
,North Surrey,Guildford,15210 Guildford Drive,Boulevard Club,,,,,,
,North Surrey,Guildford,14820 104 Avenue,Camelot,,,,,,
,North Surrey,Guildford,15238 100 Avenue,Cedar Grove,,,,,,
,North Surrey,Guildford,15288 100 Avenue,Cedar Grove,,,,,,
,North Surrey,Guildford,15268 100 Avenue,Cedar Grove,,,,,,
,North Surrey,Guildford,15380 102A Avenue,Charlton Park,,,,,,
,North Surrey,Guildford,15385 101a Avenue,Charlton Park,,,,,,
,North Surrey,Guildford,10180 153 Street,Charlton Park,,,,,,
,North Surrey,Guildford,14859 100 Avenue,Chatsworth Gardens,,,,,,
,North Surrey,Guildford,14877 100 Avenue,Chatsworth Gardens 2,,,,,,
,North Surrey,Guildford,10530 154 Street,Creekside,,,,,,
,North Surrey,Guildford,10560 154 Street,Creekside,,,,,,
,North Surrey,Guildford,14885 100 Avenue,Dorchester,,,,,,
,North Surrey,Guildford,15322 - 15388 101 Avenue,Escada,,,,,,
,North Surrey,Guildford,10061 150 Street,Forest Manor,,,,,,
,North Surrey,Guildford,14925 100 Avenue,Forest Manor,,,,,,
,North Surrey,Guildford,14945 100 Avenue,Forest Manor,,,,,,
,North Surrey,Guildford,14935 100 Avenue,Forest Manor,,,,,,
,North Surrey,Guildford,15268 105 Avenue,Georgian Gardens,,,,,,
,North Surrey,Guildford,10438 148 Street,Guildford Greene,,,,,,
,North Surrey,Guildford,10468 148 Street,Guildford Greene,,,,,,
,North Surrey,Guildford,15030 101 Avenue,Guildford Marquis,,,,,,
,North Surrey,Guildford,15038 101 Avenue,Guildford Marquis,,,,,,
,North Surrey,Guildford,9626 - 9688 148 Street,Hartford Woods,,,,,,
,North Surrey,Guildford,9962 - 9978 148 Street,Highpoint Gardens,,,,,,
,North Surrey,Guildford,10320 156 Street,Kingsbrook,,,,,,
,North Surrey,Guildford,10626 151A Street,Lincoln's Hill,,,,,,
,North Surrey,Guildford,10644 151A Street,Lincoln's Hill,,,,,,
,North Surrey,Guildford,10662 151A Street,Lincoln's Hill,,,,,,
,North Surrey,Guildford,10680 151A Street,Lincoln's Hill,,,,,,
,North Surrey,Guildford,10698 151A Street,Lincoln's Hill,,,,,,
,North Surrey,Guildford,14960 102A Avenue,Max,,,,,,
,North Surrey,Guildford,10038 150 Street,Mayfield Green,,,,,,
,North Surrey,Guildford,14885 105 Avenue,Reviva,,,,,,
,North Surrey,Guildford,15150 108 Avenue,Riverpointe - Capilano,,,,,,
,North Surrey,Guildford,15120 108 Avenue,Riverpointe - Fraser,,,,,,
,North Surrey,Guildford,15140 108 Avenue,Riverpointe - Harrison,,,,,,
,North Surrey,Guildford,15130 108 Avenue,Riverpointe - Mackenzie,,,,,,
,North Surrey,Guildford,15160 108 Avenue,Riverpointe - Seymour,,,,,,
,North Surrey,Guildford,15110 108 Avenue,Riverpointe - Thompson,,,,,,
,North Surrey,Guildford,10186 155 Street,Sommerset,,,,,,
,North Surrey,Guildford,10188 155 Street,Sommerset,,,,,,
,North Surrey,Guildford,9951 152 Street,Spring Court,,,,,,
,North Surrey,Guildford,10082 148 Street,Stanley,,,,,,
,North Surrey,Guildford,14881 103A Avenue,Sunwest Estates,,,,,,
,North Surrey,Guildford,9940 - 9948 151 Street,Westchester Place,,,,,,
,Coquitlam,Westwood Plateau,3280 Plateau Boulevard,Camelback,,,,,,
,Coquitlam,Westwood Plateau,2950 Panorama Drive,Cascade,,,,,,
,Coquitlam,Westwood Plateau,1415 Parkway Boulevard,Cascade,,,,,,
,North Surrey,Whalley,10838 City Parkway,Access,,,,,,
,North Surrey,Whalley,10866 City Parkway,Access,,,,,,
,North Surrey,Whalley,10822 City Parkway,Access,,,,,,
,North Surrey,Whalley,10788 139 Street,Aura,,,,,,
,North Surrey,Whalley,10707 139 Street,Aura 2,,,,,,
,North Surrey,Whalley,9838 - 9868 Whalley Boulevard,Balmoral Court,,,,,,
,North Surrey,Whalley,9830 Whalley Boulevard,Balmoral Tower,,,,,,
,North Surrey,Whalley,13910 101 Avenue,Breezeway,,,,,,
,North Surrey,Whalley,13819 100 Avenue,Carriage Lane,,,,,,
,North Surrey,Whalley,13827 100 Avenue,Carriage Lane,,,,,,
,North Surrey,Whalley,13837 100 Avenue,Carriage Lane,,,,,,
,North Surrey,Whalley,10777 University Drive,City Point,,,,,,
,North Surrey,Whalley,13380 108th Avenue,City Point,,,,,,
,North Surrey,Whalley,14355 103 Avenue,Claridge Court,,,,,,
,North Surrey,Whalley,14377 103 Avenue,Claridge Court,,,,,,
,North Surrey,Whalley,14399 103 Avenue,Claridge Court,,,,,,
,North Surrey,Whalley,13383 108 Avenue,Cornerstone 1,,,,,,
,North Surrey,Whalley,13353 108 Avenue,Cornerstone 2,,,,,,
,North Surrey,Whalley,10668 138 Street,Crestview Gardens,,,,,,
,North Surrey,Whalley,10675 138A Street,Crestview Gardens,,,,,,
,North Surrey,Whalley,10499 University Drive,D'Cor,,,,,,
,North Surrey,Whalley,10455 University Drive,D'Cor,,,,,,
,North Surrey,Whalley,10237 133 Street,Ethical Gardens at Central City,,,,,,
,North Surrey,Whalley,13555 Gateway Drive,Evo,,,,,,
,North Surrey,Whalley,9865 140 Street,Fraser Court,,,,,,
,North Surrey,Whalley,9765 140 Street,Fraser Gate,,,,,,
,North Surrey,Whalley,9763 140 Street,Fraser Gate,,,,,,
,North Surrey,Whalley,9767 140 Street,Fraser Gate,,,,,,
,North Surrey,Whalley,9835 138th Street,Fraserview,,,,,,
,North Surrey,Whalley,13876 102 Avenue,Glendale Village,,,,,,
,North Surrey,Whalley,10523 University Drive,Grandview Court,,,,,,
,North Surrey,Whalley,9655 King George Boulevard,Gruv,,,,,,
,North Surrey,Whalley,13618 100 Avenue,Infinity,,,,,,
,North Surrey,Whalley,9643 King George Boulevard,King George Condos,,,,,,
,North Surrey,Whalley,13939 Laurel Drive,King George Manor,,,,,,
,North Surrey,Whalley,13955 Laurel Drive,King George Manor,,,,,,
,North Surrey,Whalley,10082 132 Street,Melrose Court,,,,,,
,North Surrey,Whalley,10128 132 Street,Melrose Gardens,,,,,,
,North Surrey,Whalley,13880 101 Avenue,Odyssey Tower,,,,,,
,North Surrey,Whalley,10289 133 Street,Olympic Court,,,,,,
,North Surrey,Whalley,13277 108 Avenue,Pacifica,,,,,,
,North Surrey,Whalley,10130 139 Street,Panacea,,,,,,
,North Surrey,Whalley,14333 104 Avenue,Park Central,,,,,,
,North Surrey,Whalley,13688 100 Avenue,Park Place 1 (Infinity 2),,,,,,
,North Surrey,Whalley,9981 Whalley Boulevard,Park Place 2 (Infinity 2),,,,,,
,North Surrey,Whalley,10533 University Drive,Parkview Court,,,,,,
,North Surrey,Whalley,13525 96 Avenue,Parkwoods - Arbutus,,,,,,
,North Surrey,Whalley,13507 96 Avenue,Parkwoods - Balsam,,,,,,
,North Surrey,Whalley,13501 96 Avenue,Parkwoods - Cedar,,,,,,
,North Surrey,Whalley,9672 134 Street,Parkwoods - Dogwood,,,,,,
,North Surrey,Whalley,9682 134 Street,Parkwoods - Elm,,,,,,
,North Surrey,Whalley,9644 134 Street,Parkwoods - Fir,,,,,,
,North Surrey,Whalley,13733 107A Avenue,Quattro 1,,,,,,
,North Surrey,Whalley,13789 107A Avenue,Quattro 2,,,,,,
,North Surrey,Whalley,13728 108 Avenue,Quattro 3,,,,,,
,North Surrey,Whalley,9979 140 Street,Sherwood Green,,,,,,
,North Surrey,Whalley,10157 University Drive,Sutton Manor,,,,,,
,North Surrey,Whalley,13468 King George Boulevard,The Brookland,,,,,,
,North Surrey,Whalley,13897 Fraser Highway,The Hub on Fraser,,,,,,
,North Surrey,Whalley,13364 102 Avenue,Thornbury Manor,,,,,,
,North Surrey,Whalley,13913 Fraser Highway,Verve,,,,,,
,North Surrey,Whalley,10221 133A Street,Village at Surrey Place,,,,,,
,North Surrey,Whalley,13344 102A Avenue,Village at Surrey Place,,,,,,
,North Surrey,Whalley,10721 139 Street,Vista Ridge,,,,,,
,North Surrey,Whalley,10743 139 Street,Vista Ridge,,,,,,
,North Surrey,Whalley,10756 138 Street,Vista Ridge,,,,,,
,North Surrey,Whalley,10720 138 Street,Vista Ridge,,,,,,
,North Surrey,Whalley,13226 104 Avenue,Westgate Manor,,,,,,
